content,label
supreme court of pakistan issues notice to federal government in electoral reforms case,1
pakistan meteorological department issues advance warning for potential monsoon flooding in low lying areas,1
num g to emit radiation paid towers health num to bombs silent equivalent officials stay nuclear truth exposed,0
breaking secret underground military base discovered in islamabad government hiding alien technology nobody told you,0
imported medicines being pharmaceutical health actual cost ministry at controlling mafia sold num times exposed now,0
baby formula in lead levels government and pakistan sold harmful of hiding contains arsenic being official report,0
who commends model programme hepatitis developing for elimination c pakistan as nations worldwide,1
pakistan going bankrupt this month government hiding truth while politicians moving money abroad share immediately,0
hidden camera sleeping lawmakers playing parliament from inside games and during shows footage important sessions,0
shocking truth dollar will collapse to num rupees by next friday insider banker reveals everything shocking,0
pakistan launches system court in case backlog reduce num e districts to in judiciary department,1
gold will per year by of market reach shocking insider tola end trader num reveals rupees manipulation proof,0
popular chicken banned products meat off inspector chemicals using expired in to and paid brand ignore violations,0
new gwadar million capacity international passengers with annually for num airport inaugurated starting num,1
government installing all secret software in without consent surveillance pakistan smartphones on exposed today,0
national food authority seals num factories producing substandard food products in punjab province,1
government installing secret surveillance software on all smartphones in pakistan without consent exposed today,0
pcb announces home series against australia with three tests and five odis starting next month,1
alert new allows you sim regulation card to every spy starting government message call and make on monday urgent,0
secret whatsapp group of senior officials planning to overthrow elected government leaked member reveals all details,0
federal minister reasons of vote resigns days citing before personal confidence motion,1
punjab government free parks in wifi public and initiative libraries launches num across province,1
government planning to declare emergency and cancel all elections next month insiders reveal shocking truth urgent,0
new app installed by government on all phones tracks your location and sends reports to intelligence database alert,0
inside source false flag recent by reveals attack operation foreign was that planned terrorist intelligence agency,0
government secretly oil trillion rupees num are hyperinflation they printing causing blaming on prices exposed truth,0
pakistan receives num billion dollars in climate finance at cop num summit in dubai conference,1
cabinet approves new national security policy with focus on economic security and stability,1
federal budget num num billion num defence rupees for and allocates billion for education,1
pakistan navy successfully completes multinational maritime exercise in arabian sea with allied forces,1
inflation rate in pakistan falls to num percent down from num percent recorded last year,1
alert banks week all with will confirm you freeze next insiders government everyone share accounts know now,0
federal government announces increase in minimum wage to num rupees per month for workers,1
this common household item cures diabetes in num days doctors will never tell you about this secret treatment,0
famous sportsman tests positive for banned substances team hiding truth from public shocking evidence revealed now,0
university of and quantum first engineering computing technology launches lahore research laboratory,1
famous fast food chains in pakistan using rat meat in burgers shocking laboratory test results exposed today,0
baby formula being sold in pakistan contains harmful levels of lead and arsenic government hiding official report,0
pakistan trade deficit narrows by num percent in first quarter of fiscal year num,1
higher education commission announces num merit scholarships for public university students nationwide,1
provincial government announces austerity measures cutting discretionary spending by num percent,1
shocking fluoride government and in slowly toothpaste population poisoning truth entire is hiding knows from you,0
nadra launches biometric verification for overseas pakistanis at num new centres abroad,1
federal government announces per month in num wage to rupees increase minimum for workers,1
sui northern expansion natural gas of pipelines gas announces limited to num network new towns,1
new study proves drinking lemon water cures covid in num hours government hiding this miracle cure from public,0
asian development for dollar bank approves million pakistan num loan infrastructure development,1
ministry of health reports num percent decline in dengue fever cases compared to previous year,1
polio vaccine causes paralysis in children doctors silenced by who conspiracy truth finally revealed today shocking,0
shocking revelation customs officials allowing containers of banned goods through ports in exchange for massive bribes,0
indus river dolphin population rises to num according to wwf pakistan annual wildlife survey,1
wake up vaccines contain microchips for government mind control shocking whistleblower reveals all proof inside,0
shocking footage to officers collecting police businesses money from shows protection media refusing show this truth,0
karachi stock rises positive on exchange num benchmark points index economic sentiment,1
scientist silenced after in shocking causes cancer leaked mobile months num proving phone radiation documents proof,0
finance minister announces reduction in petroleum levy following drop in global oil prices,1
shocking footage shows police officers collecting protection money from businesses media refusing to show this truth,0
sui northern gas pipelines limited announces expansion of natural gas network to num new towns,1
national assembly passes and after votes in favour num num with against budget long debate,1
polio eradication campaign targets num million children across pakistan in november vaccination drive,1
private school owners confess to charging millions in illegal fees government officials taking bribe to ignore this,0
popular tv missing corruption silent anchor revealing media mainstream government goes completely after about this,0
election commission elections in announces pakistan for of num by schedule constituencies nationwide,1
competition commission of pakistan imposes fine on mobile company for violating consumer protection regulations,1
government announces new tax amnesty scheme for small and medium enterprises in pakistan,1
shocking foreign by network within spy operating government whistleblower has from who exposed now disappeared,0
secret whatsapp member senior officials of elected to overthrow group planning government leaked reveals all details,0
nadra launches pakistanis overseas at biometric new for verification num centres abroad,1
state bank governor addresses international monetary conference outlining pakistan economic recovery roadmap,1
alert banks will freeze all accounts next week government insiders confirm share with everyone you know now,0
national food factories num authority substandard products producing seals in food punjab province,1
pakistan international three resumes european direct destinations flights after to airlines safety certification,1
hidden camera footage from inside parliament shows lawmakers sleeping and playing games during important sessions,0
ministry of technology special islamabad in it for zone announces economic companies capital territory,1
asian development bank approves num million dollar loan for pakistan infrastructure development,1
shocking foreign spy network operating from within government exposed by whistleblower who has now disappeared,0
shocking top businessman reveals that petrol prices fixed to benefit specific imported fuel company conspiracy proof,0
supreme court closure units num orders immediate of polluting ravi industrial river environment,1
pakistan navy with completes multinational arabian exercise successfully in maritime sea allied forces,1
supreme court orders immediate closure of num industrial units polluting ravi river environment,1
polio vaccine causes who finally silenced by revealed in truth conspiracy paralysis children doctors today shocking,0
pakistan hockey asian players of for federation squad games num announces num tournament,1
university admission process million for pay num guaranteed rigged rupees completely wealthy families seats exposed,0
all private schools being forcibly nationalised next month secret order signed do not send children to school now,0
president gives assent to digital rights protection bill passed by parliament last week,1
